大專校院校別學生數,,,,,,,,,,,,,,,,,,,,,,,,
107 學年度 SY2018-2019,,,,,,,,,,,,,,,,,,,,,,,,
學校代碼,學校名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0032,國立聯合大學,N 職,M 碩士,6,2,4,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,05 苗栗縣,1 一般
0032,國立聯合大學,P 進,B 學士,"1,244",773,471,256,101,147,113,153,118,162,116,-,-,-,-,-,-,55,23,05 苗栗縣,1 一般
0033,國立虎尾科技大學,D 日,D 博士,39,31,8,10,1,7,1,4,1,3,2,2,1,4,2,1,-,-,-,09 雲林縣,2 技職
0033,國立虎尾科技大學,D 日,M 碩士,852,670,182,330,94,262,72,58,12,20,4,-,-,-,-,-,-,-,-,09 雲林縣,2 技職
0033,國立虎尾科技大學,D 日,B 四技,"7,175","5,480","1,695","1,371",402,"1,384",412,"1,287",430,"1,258",421,-,-,-,-,-,-,180,30,09 雲林縣,2 技職
0033,國立虎尾科技大學,D 日,C 二技,204,160,44,-,-,-,-,87,22,71,22,-,-,-,-,-,-,2,-,09 雲林縣,2 技職
0033,國立虎尾科技大學,D 日,5 五專,52,45,7,45,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,09 雲林縣,2 技職
0033,國立虎尾科技大學,N 職,M 碩士,191,136,55,39,25,50,21,20,6,23,2,4,1,-,-,-,-,-,-,09 雲林縣,2 技職
0033,國立虎尾科技大學,N 修,B 四技,"1,717","1,348",369,399,122,346,87,336,80,221,63,-,-,-,-,-,-,46,17,09 雲林縣,2 技職
0033,國立虎尾科技大學,N 修,C 二技,98,50,48,-,-,-,-,22,18,27,30,-,-,-,-,-,-,1,-,09 雲林縣,2 技職
0035,國立臺南藝術大學,D 日,D 博士,37,20,17,3,4,4,3,3,3,2,2,1,3,5,-,2,2,-,-,11 臺南市,1 一般
0035,國立臺南藝術大學,D 日,M 碩士,535,185,350,45,122,52,84,40,82,47,59,-,2,-,-,1,1,-,-,11 臺南市,1 一般
0035,國立臺南藝術大學,D 日,B 學士,774,240,534,57,132,55,127,58,130,47,121,-,-,-,-,-,-,23,24,11 臺南市,1 一般
0035,國立臺南藝術大學,D 日,5 五專,167,58,109,20,39,16,38,22,32,-,-,-,-,-,-,-,-,-,-,11 臺南市,1 一般
0035,國立臺南藝術大學,N 職,M 碩士,51,14,37,1,6,1,8,4,10,7,5,-,3,-,3,1,2,-,-,11 臺南市,1 一般
0036,國立臺南大學,D 日,D 博士,176,77,99,10,16,12,15,13,19,15,15,11,8,9,13,7,13,-,-,21 臺南市,1 一般
0036,國立臺南大學,D 日,M 碩士,879,394,485,130,159,129,135,88,110,46,76,1,4,-,1,-,-,-,-,21 臺南市,1 一般
0036,國立臺南大學,D 日,B 學士,"3,885","1,820","2,065",435,497,429,506,435,497,429,517,-,-,-,-,-,-,92,48,21 臺南市,1 一般
0036,國立臺南大學,N 職,M 碩士,662,218,444,80,148,74,145,33,65,20,59,10,20,1,7,-,-,-,-,21 臺南市,1 一般
0036,國立臺南大學,P 進,B 學士,90,39,51,23,20,1,10,2,7,9,11,-,-,-,-,-,-,4,3,21 臺南市,1 一般
0037,國立臺北教育大學,D 日,D 博士,148,73,75,10,16,15,14,11,11,12,11,4,9,6,6,15,8,-,-,30 臺北市,3 師範
0037,國立臺北教育大學,D 日,M 碩士,"1,321",445,876,131,282,134,262,90,163,80,143,7,17,3,9,-,-,-,-,30 臺北市,3 師範
0037,國立臺北教育大學,D 日,B 學士,"3,408","1,174","2,234",270,566,288,531,270,527,267,531,-,-,-,-,-,-,79,79,30 臺北市,3 師範
0037,國立臺北教育大學,N 職,M 碩士,937,199,738,66,239,72,262,23,106,29,105,6,17,3,7,-,2,-,-,30 臺北市,3 師範
0039,國立臺中教育大學,D 日,D 博士,115,55,60,4,11,8,9,9,8,10,9,10,5,6,8,8,10,-,-,19 臺中市,3 師範
0039,國立臺中教育大學,D 日,M 碩士,822,288,534,88,175,84,187,73,100,31,50,4,16,8,6,-,-,-,-,19 臺中市,3 師範
0039,國立臺中教育大學,D 日,B 學士,"3,275","1,171","2,104",282,513,296,496,274,511,264,535,-,-,-,-,-,-,55,49,19 臺中市,3 師範
0039,國立臺中教育大學,N 職,M 碩士,754,189,565,57,192,49,174,31,111,23,47,13,26,16,15,-,-,-,-,19 臺中市,3 師範
0042,國立澎湖科技大學,D 日,M 碩士,69,40,29,16,10,15,11,8,6,1,2,-,-,-,-,-,-,-,-,16 澎湖縣,2 技職
0042,國立澎湖科技大學,D 日,B 四技,"2,616","1,541","1,075",394,272,383,249,355,298,347,244,-,-,-,-,-,-,62,12,16 澎湖縣,2 技職
0042,國立澎湖科技大學,D 日,5 五專,13,11,2,11,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16 澎湖縣,2 技職
0042,國立澎湖科技大學,N 職,M 碩士,43,23,20,8,5,12,14,3,-,-,1,-,-,-,-,-,-,-,-,16 澎湖縣,2 技職
0042,國立澎湖科技大學,N 修,B 四技,284,134,150,56,41,27,41,21,28,21,34,-,-,-,-,-,-,9,6,16 澎湖縣,2 技職
0043,國立勤益科技大學,D 日,D 博士,18,16,2,3,-,2,1,3,-,2,1,3,-,3,-,-,-,-,-,06 臺中市,2 技職
0043,國立勤益科技大學,D 日,M 碩士,555,429,126,184,46,182,60,51,17,12,3,-,-,-,-,-,-,-,-,06 臺中市,2 技職
